,Address.AddressLine1,Address.AddressLine2,Address.City,Address.County,Address.FormattedAddress,Address.PostalCode,Address.Subdivision,ID,Name,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,Store.AnnualSales,Store.OperatingExpenses,Store.CostOfGoodsSold,AllCapability,Latitude,Longitude
764,1110 S 300 W,,Salt Lake City,Salt Lake,"1110 S 300 W, Salt Lake City, UT 84101-3053",84101-3053,UT,2641,Salt Lake City,178,197,100,6534569,2003523,2093940,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks']",40.76,-111.9
765,5518 W High Market Dr,,West Valley City,Salt Lake,"5518 W High Market Dr, West Valley City, UT 84120",84120,UT,2609,West Valley City,178,197,100,6220876,1722920,2399494,"['Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.7,-112.0
766,200 N Market Place Dr,,Centerville,Davis,"200 N Market Place Dr, Centerville, UT 84014-1752",84014-1752,UT,1750,Centerville,178,197,100,7998887,2192331,3806260,"['Accepts WIC', 'Bakery', 'Beer Available', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Super Target']",40.95,-111.84
767,815 W 2000 N,,Layton,Davis,"815 W 2000 N, Layton, UT 84041-1632",84041-1632,UT,1755,Layton,178,197,100,5108726,2485903,1921720,"['Accepts WIC', 'Bakery', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target']",41.05,-112.0
768,1135 W Riverdale Rd,,Riverdale,Weber,"1135 W Riverdale Rd, Riverdale, UT 84405-3722",84405-3722,UT,1753,Riverdale,178,197,100,6682259,2062693,2422788,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",41.16,-111.96
769,20 W Main St,,Ansonia,New Haven,"20 W Main St, Ansonia, CT 06401-1812",06401-1812,CT,2249,Ansonia,460,496,400,6874557,2357479,3520985,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Starbucks']",41.34,-73.07
770,25 Boston Post Rd,,Orange,New Haven,"25 Boston Post Rd, Orange, CT 06477-3203",06477-3203,CT,1955,Orange,460,496,400,8372963,2170415,2753213,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",41.26,-73.0
771,1191 Boston Post Rd,,Milford,New Haven,"1191 Boston Post Rd, Milford, CT 06460-2763",06460-2763,CT,2045,Milford,460,496,400,6173306,1721618,3515995,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",41.21,-73.05
772,120 Hawley Ln,,Trumbull,Fairfield,"120 Hawley Ln, Trumbull, CT 06611-5347",06611-5347,CT,1956,Trumbull,460,496,400,8553621,2346830,3915624,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.26,-73.21
773,200 Universal Dr N,,North Haven,New Haven,"200 Universal Dr N, North Haven, CT 06473-3156",06473-3156,CT,1916,North Haven,460,496,400,6982392,2013990,2088572,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",41.38,-72.86
774,5065 Main St,Ste Target,Trumbull,Fairfield,"5065 Main St, Trumbull, CT 06611-4204",06611-4204,CT,2361,Trumbull West,460,496,400,8716112,1555416,3688884,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.26,-73.21
775,300 Chase Ave,,Waterbury,New Haven,"300 Chase Ave, Waterbury, CT 06704-2246",06704-2246,CT,2156,Waterbury,460,496,400,7535559,1650145,2333930,"['CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Starbucks']",41.58,-73.03
776,7 Stony Hill Rd,,Bethel,Fairfield,"7 Stony Hill Rd, Bethel, CT 06801-1030",06801-1030,CT,1528,Bethel,459,496,400,7127813,2347809,2683716,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Optical', 'Photo Lab']",41.38,-73.39
777,474 Chamberlain Hwy,,Meriden,New Haven,"474 Chamberlain Hwy, Meriden, CT 06451-1818",06451-1818,CT,1373,Meriden,460,496,400,8522379,1023678,3679608,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk']",41.54,-72.82
778,600 Executive Blvd,,Southington,Hartford,"600 Executive Blvd, Southington, CT 06489-6008",06489-6008,CT,2434,Southington,460,496,400,7356994,2474353,3064306,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.6,-72.88
779,3265 Berlin Turnpike,,Newington,Hartford,"3265 Berlin Turnpike, Newington, CT 06111-5101",06111-5101,CT,1802,Newington,439,498,400,7239927,2200275,3812769,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk']",41.69,-72.73
780,475 Hartford Rd,,New Britain,Hartford,"475 Hartford Rd, New Britain, CT 06053-1524",06053-1524,CT,1289,New Britain,439,498,400,7193995,1450537,2386068,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical']",41.69,-72.79
781,21 Broad St,,Stamford,Fairfield,"21 Broad St, Stamford, CT 06901-2309",06901-2309,CT,1544,Stamford,459,496,400,7951267,1443056,3018981,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.054,-73.538
782,255 Pond Path Rd,,South Setauket,Suffolk,"255 Pond Path Rd, South Setauket, NY 11720-2007",11720-2007,NY,1191,South Setauket,424,496,400,5293616,1688832,1642407,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.87,-73.08
783,1922 E Main St,,Torrington,Litchfield,"1922 E Main St, Torrington, CT 06790-3101",06790-3101,CT,2305,Torrington,460,496,400,6985924,1911696,2004983,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",41.84,-73.13
784,195 N Bedford Rd Ste A,,Mount Kisco,Westchester,"195 N Bedford Rd Ste A, Mount Kisco, NY 10549-1104",10549-1104,NY,1954,Mt Kisco,459,496,400,6459215,1408893,2427280,"['Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.2,-73.72
785,1150 Old Country Rd,,Riverhead,Suffolk,"1150 Old Country Rd, Riverhead, NY 11901-2073",11901-2073,NY,1818,Riverhead,424,496,400,8117382,1210168,2269929,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.9,-72.6
786,2975 Horseblock Rd,,Medford,Suffolk,"2975 Horseblock Rd, Medford, NY 11763-2526",11763-2526,NY,1948,Medford,424,496,400,8970048,1887662,2050169,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.83,-72.99
787,98 Veterans Memorial Hwy,,Commack,Suffolk,"98 Veterans Memorial Hwy, Commack, NY 11725-3432",11725-3432,NY,1108,Commack,424,496,400,8672537,2065782,3435621,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.84,-73.28
788,4 Henry St,,Commack,Suffolk,"4 Henry St, Commack, NY 11725-5423",11725-5423,NY,1387,Commack South,424,496,400,7429078,1823978,2836698,"['Beer Available', 'CVS pharmacy', 'CafÈ', 'Mobile Kiosk', 'Starbucks']",40.84,-73.28
789,124 E Jericho Tpke,,Huntington Station,Suffolk,"124 E Jericho Tpke, Huntington Station, NY 11746-7324",11746-7324,NY,2844,Huntington,455,496,400,6859093,2038178,2945621,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks']",40.82,-73.36
790,5750 Sunrise Hwy,,Sayville,Suffolk,"5750 Sunrise Hwy, Sayville, NY 11782",11782,NY,2847,Sayville,424,496,400,5662344,1514042,3456400,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",40.65,-73.15
791,160 N Research Pl,,Central Islip,Suffolk,"160 N Research Pl, Central Islip, NY 11722-4458",11722-4458,NY,2102,Central Islip,424,496,400,7403543,2004811,3064310,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.78,-73.19
792,9 City Pl,,White Plains,Westchester,"9 City Pl, White Plains, NY 10601-3331",10601-3331,NY,1358,White Plains,459,496,400,5377645,1115881,2540763,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab']",41.03,-73.76
793,125 Buckland Hills Dr,,Manchester,Hartford,"125 Buckland Hills Dr, Manchester, CT 06042-8701",06042-8701,CT,1249,South Windsor,439,498,400,7162332,1405771,2554037,"['Accepts WIC', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Optical']",41.8,-72.53
794,1075 Kennedy Rd,,Windsor,Hartford,"1075 Kennedy Rd, Windsor, CT 06095-1308",06095-1308,CT,2213,Windsor,439,498,400,7371074,2005511,2798964,"['CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.87,-72.68
795,838 Sunrise Hwy,,Bay Shore,Suffolk,"838 Sunrise Hwy, Bay Shore, NY 11706-5908",11706-5908,NY,1148,Bay Shore,424,496,400,5195301,2336572,2757329,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.71,-73.24
796,100 Willow Park Ctr,,Farmingdale,Suffolk,"100 Willow Park Ctr, Farmingdale, NY 11735-1001",11735-1001,NY,1866,Farmingdale,424,496,400,5618277,1335277,3772370,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.73,-73.43
797,2003 Broadway Mall,,Hicksville,Nassau,"2003 Broadway Mall, Hicksville, NY 11801-2719",11801-2719,NY,1885,Hicksville,455,496,400,7714183,1638522,3013976,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.77,-73.53
798,101 Shore Rd,,Port Washington,Nassau,"101 Shore Rd, Port Washington, NY 11050",11050,NY,3259,Port Washington North,455,496,400,5593044,1349043,3786065,"['Beer Available', 'Fresh Grocery', 'Mobile Kiosk']",40.84,-73.69
799,2001 South Rd,,Poughkeepsie,Dutchess,"2001 South Rd, Poughkeepsie, NY 12601-5978",12601-5978,NY,1856,Poughkeepsie,451,495,400,8180035,1442486,3529580,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab']",41.7,-73.9
800,3850 Hempstead Tpke,,Levittown,Nassau,"3850 Hempstead Tpke, Levittown, NY 11756-1303",11756-1303,NY,1264,Levittown,455,496,400,8203692,2240475,3403027,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks']",40.72,-73.52
801,900 Hartford Tpke,,Waterford,New London,"900 Hartford Tpke, Waterford, CT 06385-4246",06385-4246,CT,1267,Waterford,439,498,400,5141508,2120623,2842761,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical']",41.36,-72.16
802,1149 Sunrise Hwy,,Copiague,Suffolk,"1149 Sunrise Hwy, Copiague, NY 11726-1330",11726-1330,NY,1147,Copiague,455,496,400,8377581,1210064,3829599,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.68,-73.39
803,4120 Palisades Center Dr,,West Nyack,Rockland,"4120 Palisades Center Dr, West Nyack, NY 10994-6801",10994-6801,NY,1083,Clarkstown,451,495,400,5396001,1769579,3047825,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.1,-73.97
804,500 East Sandford Blvd,,Mount Vernon,Westchester,"500 East Sandford Blvd, Mount Vernon, NY 10550-4784",10550-4784,NY,1887,Mt Vernon,459,496,400,8860969,1609155,2653368,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Starbucks']",40.91,-73.83
805,999 Corporate Dr,,Westbury,Nassau,"999 Corporate Dr, Westbury, NY 11590-6614",11590-6614,NY,1139,Westbury,455,496,400,8231153,1115178,3273005,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.76,-73.58
806,90 Elm St,,Enfield,Hartford,"90 Elm St, Enfield, CT 06082-3770",06082-3770,CT,1255,Enfield,439,498,400,8922529,2102759,3817632,"['Accepts WIC', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Optical']",41.98,-72.56
807,50 Spring Valley Market Pl,,Spring Valley,Rockland,"50 Spring Valley Market Pl, Spring Valley, NY 10977-5213",10977-5213,NY,1808,Spring Valley,451,495,400,7115629,1190949,2933517,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",41.12,-74.05
808,50 Route 17K,,Newburgh,Orange,"50 Route 17K, Newburgh, NY 12550-3918",12550-3918,NY,2076,Newburgh,451,495,400,6513492,1105375,2752311,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.54,-74.05
809,29 Vervalen St,,Closter,Bergen,"29 Vervalen St, Closter, NJ 07624-2620",07624-2620,NJ,3235,Closter NJ,451,495,400,7868966,1020400,3206837,"['CVS pharmacy', 'Mobile Kiosk', 'Starbucks']",40.97,-73.97
810,815 E Hutchinson River Pkwy,,Bronx,Bronx,"815 E Hutchinson River Pkwy, Bronx, NY 10465-1818",10465-1818,NY,2811,Bronx-Throggs Neck,459,496,400,7915448,1553294,3880073,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",40.83,-73.82
811,248 Sunrise Hwy,,Freeport,Nassau,"248 Sunrise Hwy, Freeport, NY 11520-3943",11520-3943,NY,3236,Freeport,455,496,400,7843848,1147332,3068925,"['Beer Available', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.64,-73.58
812,40 W 225th St,#50,Bronx,Bronx,"40 W 225th St, Bronx, NY 10463-7016",10463-7016,NY,1798,Bronx Riverdale,459,496,400,6375924,1613817,2695927,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Starbucks']",40.89,-73.91
813,1730 Hempstead TPK,,Elmont,Nassau,"1730 Hempstead TPK, Elmont, NY 11003-1856",11003-1856,NY,3237,Elmont,469,496,400,8451902,1657240,2152162,"['Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.7,-73.71
814,13505 20th Ave,,College Point,Queens,"13505 20th Ave, College Point, NY 11356-2446",11356-2446,NY,1150,College Point,469,496,400,7096765,1560510,3861090,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",40.78,-73.85
815,128 Bailey Farm Rd,,Monroe,Orange,"128 Bailey Farm Rd, Monroe, NY 10950-4949",10950-4949,NY,2024,Monroe,451,495,400,6244828,1264864,3224863,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.3,-74.2
816,4024 College Point Blvd,Ste F600,Flushing,Queens,"4024 College Point Blvd, Flushing, NY 11354-5112",11354-5112,NY,2451,Flushing,469,496,400,8533149,2073710,3957782,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Starbucks']",40.77,-73.82
817,700 Exterior St,,Bronx,Bronx,"700 Exterior St, Bronx, NY 10451-2022",10451-2022,NY,2475,Bronx Terminal,459,496,400,6261797,1577214,3578387,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.82,-73.92
818,500 W Sunrise Hwy,,Valley Stream,Nassau,"500 W Sunrise Hwy, Valley Stream, NY 11581-1001",11581-1001,NY,2840,Valley Stream,455,496,400,6796880,1135094,3441085,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.65,-73.72
819,195 River Rd,,Lisbon,New London,"195 River Rd, Lisbon, CT 06351-3253",06351-3253,CT,2433,Lisbon,439,498,400,7368374,1645035,3659289,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Starbucks']",41.58,-71.96
820,517 E 117th Street,Suite 201,New York,New York,"517 E 117th Street, New York, NY 10035-4410",10035-4410,NY,2380,Harlem,469,496,400,5519871,1466309,2848801,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.8,-73.93
821,630 Main St,,Hackensack,Bergen,"630 Main St, Hackensack, NJ 07601-5913",07601-5913,NJ,1330,Hackensack,446,495,400,8694933,1019985,2618515,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",40.89,-74.05
822,7000 AUSTIN ST,,FOREST HILLS,Queens,"7000 AUSTIN ST, FOREST HILLS, NY 11375-1022",11375-1022,NY,3230,Forest Hills,469,496,400,5548126,2414896,1793883,"['Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk']",40.72,-73.85
823,8801 Queens Blvd,,Elmhurst,Queens,"8801 Queens Blvd, Elmhurst, NY 11373-4449",11373-4449,NY,1344,Queens Place,469,496,400,6652033,1363138,2754567,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Pizza Hut Salads and Snacks', 'Starbucks']",40.74,-73.88
824,900 Bergen Town Ctr,,Paramus,Bergen,"900 Bergen Town Ctr, Paramus, NJ 07652-5005",07652-5005,NJ,2381,Paramus,446,495,400,6200667,1029705,2282201,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.94,-74.07
825,543 River Rd,,Edgewater,Bergen,"543 River Rd, Edgewater, NJ 07020-1146",07020-1146,NJ,1263,Edgewater,446,495,400,5502677,2219922,3033358,"['Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks']",40.82,-73.98
826,50 Holyoke St,,Holyoke,Hampden,"50 Holyoke St, Holyoke, MA 01040-2709",01040-2709,MA,1232,Holyoke,439,498,400,8003974,2301760,2522465,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",42.22,-72.64
827,7101 Tonnelle Ave,,North Bergen,Hudson,"7101 Tonnelle Ave, North Bergen, NJ 07047-4507",07047-4507,NJ,1865,North Bergen Commons,446,495,400,8918559,1173430,2394415,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.79,-74.02
828,112 W 34th St,,New York,New York,"112 W 34th St, New York, NY 10120-0101",10120-0101,NY,3277,Manhattan Herald Square,423,496,400,6792344,2235546,3721250,"['Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk']",,
829,519 Gateway Dr,,Brooklyn,Kings,"519 Gateway Dr, Brooklyn, NY 11239-2801",11239-2801,NY,1401,Gateway,469,496,400,7042140,2208547,3112769,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",40.65,-73.87
830,1300 Ulster Ave,,Kingston,Ulster,"1300 Ulster Ave, Kingston, NY 12401-1501",12401-1501,NY,1318,Kingston,451,495,400,8134600,1061314,2865086,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.9,-74.1
831,255 Greenwich St,,New York,,"255 Greenwich St, New York, NY 10007-2377",10007-2377,NY,3229,Tribeca,423,496,400,6071986,1702696,3097763,"['Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Chobani Cafe', 'Fresh Grocery', 'Mobile Kiosk']",40.714,-74.008
832,445 Albee Square West,,BROOKLYN,Kings,"445 Albee Square West, BROOKLYN, NY 11201-3016",11201-3016,NY,2850,Brooklyn Fulton St,423,496,400,7074081,1074958,2583575,"['Beer Available', 'CVS pharmacy', 'In-Store Apple Store', 'Mobile Kiosk', 'Starbucks']",40.7,-73.99
833,139 Flatbush Ave,,Brooklyn,Kings,"139 Flatbush Ave, Brooklyn, NY 11217-1403",11217-1403,NY,1849,Atlantic Terminal,423,496,400,7593298,2192704,2762025,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'In-Store Apple Store', 'Mobile Kiosk', 'Starbucks']",40.68,-73.98
834,100 14th St,,Jersey City,Hudson,"100 14th St, Jersey City, NJ 07310-1202",07310-1202,NJ,1886,Jersey City,446,495,400,7150239,1366591,3737739,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.73,-74.04
835,30 Kingsland Rd,,Clifton,Passaic,"30 Kingsland Rd, Clifton, NJ 07014-1904",07014-1904,NJ,1822,Clifton,446,495,400,5226205,1961841,2364875,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab']",40.83,-74.14
836,1598 Flatbush Ave,,Brooklyn,Kings,"1598 Flatbush Ave, Brooklyn, NY 11210-3036",11210-3036,NY,2212,Brooklyn Junction,423,496,400,8616527,1163290,2203955,"['Accepts WIC', 'Beauty Concierge', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Pizza Hut Salads and Snacks', 'Starbucks']",40.63,-73.95
837,1 N Galleria Dr,Ste 140,Middletown,Orange,"1 N Galleria Dr, Middletown, NY 10941-3029",10941-3029,NY,1296,Middletown,451,495,400,5532110,1383808,2578181,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",41.49,-74.35
838,6401 18th Ave,,Brooklyn,Kings,"6401 18th Ave, Brooklyn, NY 11204-3730",11204-3730,NY,3276,Brooklyn Bensonhurst,423,496,400,7631455,2153143,3197031,"['Beer Available', 'Fresh Grocery', 'Mobile Kiosk']",40.62,-73.99
839,94 State Rt 23,,Riverdale,Morris,"94 State Rt 23, Riverdale, NJ 07457-1208",07457-1208,NJ,2247,Riverdale Rt 23 and Falston,451,495,400,8945947,1428533,2376159,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.99,-74.31
840,632 Route 46 E,,Fairfield,Essex,"632 Route 46 E, Fairfield, NJ 07004-1581",07004-1581,NJ,1175,Fairfield,446,495,400,6696161,2114611,2853790,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",40.88,-74.3
841,2177 Killingly Cmns,,Dayville,Windham,"2177 Killingly Cmns, Dayville, CT 06241-2188",06241-2188,CT,2432,Killingly,439,498,400,5832551,1369132,2646152,"['CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",41.85,-71.86
842,367 Russell St,,Hadley,Hampshire,"367 Russell St, Hadley, MA 01035-9456",01035-9456,MA,1839,Hadley,439,498,400,5555142,1119610,2616691,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk']",42.36,-72.59
843,1157 Route 46,,Parsippany,Morris,"1157 Route 46, Parsippany, NJ 07054-2179",07054-2179,NJ,3290,Parsippany,446,495,400,5442659,1020992,3549101,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.86,-74.4
844,2235 Springfield Ave,,Vauxhall,Union,"2235 Springfield Ave, Vauxhall, NJ 07088-1100",07088-1100,NJ,2141,Union North,419,495,400,5386103,1845903,1622073,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.72,-74.29
845,130 State Route 10,Ste 1,East Hanover,Morris,"130 State Route 10, East Hanover, NJ 07936-2103",07936-2103,NJ,1491,East Hanover,446,495,400,6156126,2451112,2909335,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk']",40.82,-74.37
846,2873 Richmond Ave,,Staten Island,Richmond,"2873 Richmond Ave, Staten Island, NY 10314-5811",10314-5811,NY,2753,Staten Island Cntl,419,495,400,6578176,1564060,3629106,"['Accepts WIC', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.6,-74.15
